ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
amis1246,Amis,,23.0917,121.348,amis1246,,3,1.0986122886681098
port1283,Portuguese,,39.91,-8.1,port1283,,0,0.0
mand1415,Mandarin Chinese,,40.0209,116.228,mand1415,,0,0.0
phal1254,Palula,,35.5096,71.8421,phal1254,,547,6.304448802421981
yoru1245,Yoruba,,7.15345,3.67225,yoru1245,,2,0.6931471805599453
gunn1250,Gungbe,,6.48529,2.76767,gunn1250,,1,0.0
fefe1239,Fe’efe’e,,5.18158,10.1442,fefe1239,,1,0.0
limb1268,Limbum,,6.58608,10.9802,limb1268,,1,0.0
buku1249,Lubukusu,,0.68043,34.7719,buku1249,,5,1.6094379124341003
nyan1308,Chichewa,,-14.8047,32.8108,nyan1308,,1,0.0
teiw1235,Teiwa,,-8.37662,124.174,teiw1235,,8,2.0794415416798357
abui1241,Abui,,-8.31058,124.588,abui1241,,28,3.332204510175204
pnar1238,Pnar,,24.8237,92.2628,pnar1238,,2,0.6931471805599453
sant1410,Santali,,25.0317,87.8185,sant1410,,1,0.0
lako1247,Lakota,,46.3699,-103.95,lako1247,,1,0.0
bilo1248,Biloxi,,31.32,-89.1951,bilo1248,,1,0.0
omah1247,Omaha-Ponca,,42.0944,-96.5295,omah1247,,1,0.0
coos1249,Hanis Coos,,43.4413,-124.16,coos1249,,1,0.0
waya1269,Wayana,,2.77537,-54.4429,waya1269,,1,0.0
sout2969,Southern Paiute,,37.0,-114.0,sout2969,,1,0.0
mait1250,Maithili,,26.3817,86.2211,mait1250,,1,0.0
nort2641,Northern Kurdish,,37.0,43.0,nort2641,,4,1.3862943611198906
cent1972,Central Kurdish,,35.6539,45.8077,cent1972,,4,1.3862943611198906
arab1395,Arabic,,,,arab1395,,6,1.791759469228055
indo1316,Indonesian,,-7.33458,109.716,indo1316,,2,0.6931471805599453
buna1278,Bunaq,,-9.13618,125.216,buna1278,,3,1.0986122886681098
swed1254,Swedish,,59.800634,17.389526,swed1254,,386,5.955837369464831
zand1248,Zande,,4.62047,26.7157,zand1248,,2,0.6931471805599453
maya1287,Mayan,,,,maya1287,,1,0.0
otom1299,Otomanguean,,,,otom1299,,2,0.6931471805599453
hali1245,Coastal Marind,,,,hali1245,,2,0.6931471805599453
halk1245,Halkomelem,,49.250402,-122.443668,halk1245,,1,0.0
jara1276,Jarawara,,,,jara1276,,1,0.0
oldr1238,Old Russian,,54.813,31.827,oldr1238,,1,0.0
unaa1239,Una,,-4.69676,140.1,unaa1239,,1,0.0
oksa1245,Oksapmin,,-5.20797,142.177,oksa1245,,1,0.0
mesk1242,Meskwaki,,44.0,-89.0,mesk1242,,1,0.0
taga1270,Tagalog,,14.06,121.747,taga1270,,2,0.6931471805599453
tokp1240,Tok Pisin,,-9.41971,147.303,tokp1240,,1,0.0
bari1284,Bari,,4.19522,31.0723,bari1284,,6,1.791759469228055
